2024-05-15 15:22:18,323 INFO Loading dictionaries from /home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/pymorphy2_dicts_ru/data
2024-05-15 15:22:18,366 INFO format: 2.4, revision: 417127, updated: 2020-10-11T15:05:51.070345
2024-05-15 15:22:19,152 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:19,154 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:48,983 DEBUG findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-05-15 15:22:48,983 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,983 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,983 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,983 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,983 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,983 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
